"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","is_validated"
-2.81071343473257,3.69339437019496,-11.2770945350747,3.81269077753473e-26,7.30273259802058e-24,48.5591951335163,"CRYAB","Down","Other"
2.23606667882113,0.0707082424182265,11.2608053248518,4.40429471732526e-26,8.33172937698456e-24,48.0583732600882,"FAM72A","Up","Other"
1.81894882499519,4.71954869082913,11.2559539326593,4.59752654596649e-26,8.59120722729811e-24,48.3955681466556,"MTHFD1L","Up","Other"
-3.11949418309427,3.94717887245201,-11.2534121988248,4.70210649643578e-26,8.68076841504644e-24,48.3455036497993,"HSPB8","Down","Other"
-3.388823801963,1.40754077848308,-11.2438222316878,5.11843416365137e-26,9.3368769868607e-24,48.3127187997355,"ANGPTL1","Down","Other"
-3.12109511711046,1.14144209380135,-11.221266908797,6.24779876077718e-26,1.12629435778104e-23,48.1119465687637,"SGCA","Down","Other"
-0.688718130821294,5.09097917365183,-11.1220796596207,1.49752115960714e-25,2.66819961961165e-23,47.2089056820229,"RNF185","Not significant","Other"
-2.36517615540212,1.53144215464454,-11.1189515455413,1.53927351181788e-25,2.71106758868797e-23,47.2226386805019,"PHYHD1","Down","Other"
-0.944916795795071,4.34575518466537,-11.1084628926939,1.68790057289641e-25,2.93905687255587e-23,47.1097184906342,"MTFR1L","Not significant","Other"
-2.21849822451459,0.791837317186435,-11.1017819804171,1.7899230788605e-25,3.08168441993028e-23,47.0323391884053,"MYZAP","Down","Other"
-3.45832526879959,3.52563200390368,-11.0999566431442,1.81884840780814e-25,3.09669046142712e-23,47.0129725352208,"PGM5","Down","Other"
2.64264409407555,0.754167471614874,11.0817688259265,2.13369892042951e-25,3.59282072063092e-23,46.541819565442,"GABRD","Up","Other"
-2.42771646568775,1.45250338635356,-11.0421736340379,3.01898876515152e-25,5.02825704874094e-23,46.5577244619032,"USP2","Down","Other"
1.68366526442751,7.95364549527964,11.0396640538893,3.08606217446315e-25,5.08470222573106e-23,46.480760357623,"MARCKSL1","Up","Other"
-1.55159050937139,5.3802982667422,-11.0381874929779,3.12621628345447e-25,5.09606511823115e-23,46.4651011730281,"ELL2","Down","Other"
1.23408694921515,7.19545187987925,11.0218834469383,3.60565575619445e-25,5.81573296338606e-23,46.3315921037635,"RCC2","Up","Other"
2.09741319758068,6.63651348880084,11.0128168928585,3.90319730796492e-25,6.23007211978609e-23,46.2936507544061,"ENC1","Up","Other"
-1.74189788864262,3.78077449004278,-11.0065868836761,4.12167650849687e-25,6.51097413811315e-23,46.224868410194,"ARHGEF37","Down","Other"
-1.39041988527004,3.66770070861315,-11.002050128483,4.28838560784965e-25,6.70519721113063e-23,46.2011575822734,"PLCD1","Down","Other"
2.70698383142939,6.27618219572068,10.9901408014473,4.75859256083197e-25,7.36524381915437e-23,46.1182371771774,"TPX2","Up","Other"
-3.29734078417842,2.55244057968138,-10.9809872570459,5.15452866205401e-25,7.89828426886535e-23,46.0101411939332,"GFRA1","Down","Other"
2.6862198911044,7.07922898123613,10.9785829841867,5.26384778308145e-25,7.98593461189674e-23,46.0018266033191,"TOP2A","Up","Other"
2.32558065156043,8.4025141655862,10.9208950769385,8.70273358390864e-25,1.30737241868855e-22,45.4596043431855,"BGN","Up","Other"
-2.42832000049429,1.63484213535478,-10.912083143343,9.39620071973896e-25,1.39784450124816e-22,45.4477563879317,"SCUBE2","Down","Other"
-2.06560346922066,3.61974783215867,-10.8936888915174,1.1025732594245e-24,1.62449327443862e-22,45.2518890369282,"ID4","Down","Other"
-2.1366191818086,1.39375106900447,-10.8814446004203,1.22632080023841e-24,1.78961082114792e-22,45.1723021741933,"LGI4","Down","Other"
-3.44814409536969,0.1802720771653,-10.8569448635422,1.51687903308553e-24,2.19274881358204e-22,44.9589894839714,"PART1","Down","Other"
-3.19564725977143,1.43128493154592,-10.8461422530254,1.66583371135387e-24,2.38556728589489e-22,44.8859549103868,"LDB3","Down","Other"
-2.83987013218536,2.88115378305471,-10.8267507316417,1.97060146058376e-24,2.79588205375231e-22,44.6878036185677,"RBPMS2","Down","Other"
-1.92498817498609,8.53720178032257,-10.807124189016,2.33547093401282e-24,3.28315790108977e-22,44.5203456607801,"GSN","Down","Other"
-2.18688881735287,3.58126630033351,-10.7970462042199,2.54816553575002e-24,3.54959459129978e-22,44.4240458175032,"FAXDC2","Down","Other"
2.07170182238674,0.836890048567552,10.7945077137051,2.60470827476799e-24,3.59567071119548e-22,44.1259522606947,"TMEM26","Up","Other"
-2.59896006118143,1.14485970989699,-10.7918755946764,2.66465349082082e-24,3.64557905712924e-22,44.4177211001688,"GPER1","Down","Other"
-1.19187251972586,2.76186498284628,-10.7788636172595,2.9817469653849e-24,4.02172631718501e-22,44.313759974494,"SLC25A42","Down","Other"
2.95093605790644,3.49669386789847,10.7784630223983,2.9920824914122e-24,4.02172631718501e-22,44.152756135615,"KIF14","Up","Other"
-1.57633524988636,5.26887348014377,-10.7546773612097,3.67404779206666e-24,4.89542907111629e-22,44.0309033649873,"CSRNP1","Down","Other"
-1.77090858952074,4.90031041733192,-10.7215080340405,4.88996630377013e-24,6.45939255798877e-22,43.7508951780016,"PTGR1","Down","Other"
-2.63924688996554,1.64654313418572,-10.7152730566545,5.15965046915828e-24,6.75737813153096e-22,43.7746684108388,"AFF3","Down","Other"
1.70209330862185,7.57065052969038,10.7020158310674,5.78318319821856e-24,7.49328776275447e-22,43.5919015398162,"TTYH3","Up","Other"
-2.29606935544165,1.56860604567375,-10.7012908109181,5.81936463987327e-24,7.49328776275447e-22,43.6543209810378,"ATOH8","Down","Other"
-2.98585110453941,2.17670808782469,-10.696281891379,6.07555033106393e-24,7.75797147690772e-22,43.596696015405,"ABCA8","Down","Other"
-3.28552428574167,0.405579863328953,-10.6798517196119,6.99717073608774e-24,8.8609625776093e-22,43.4635652756173,"FABP4","Down","Other"
-2.71032236215828,1.73200283216957,-10.6627909056593,8.10132144465958e-24,1.01751269259442e-21,43.3305754035859,"TMOD1","Down","Other"
2.37472805096484,8.61766152241892,10.6561333998352,8.57770342598008e-24,1.06858658208368e-21,43.1966993116115,"EPCAM","Up","Other"
-1.2827581688873,1.79526754431517,-10.5902711664498,1.50792574749646e-23,1.86338276039421e-21,42.7034153499565,"FAM161B","Down","Other"
2.56224865381123,3.92503948107115,10.5865101070969,1.55720022090569e-23,1.90887831879503e-21,42.6124205166406,"CLSPN","Up","Other"
-1.63865512332861,1.90450895332207,-10.5604317960401,1.94576905895229e-23,2.36627137224809e-21,42.4654929777333,"CA11","Down","Other"
-1.81589884341498,1.244782101079,-10.5569839233318,2.00388115761509e-23,2.41775362032567e-21,42.4189043292822,"GSTM2","Down","Other"
-2.57035667576564,2.61608423405294,-10.5345441780291,2.42656789568164e-23,2.90486717699451e-21,42.2289916816981,"HBA2","Down","Other"
-0.969351621078545,6.16680255074,-10.5293112060502,2.5372385985805e-23,3.01380674775574e-21,42.120060383502,"ZER1","Not significant","Other"
-1.65062490910405,4.30911796053743,-10.4991409940935,3.28035107561655e-23,3.86652457935942e-21,41.8882629347632,"CBX7","Down","Other"
-1.97958639003483,2.61695185753102,-10.4828373844693,3.76813952375983e-23,4.40757266584519e-21,41.8122638846735,"PDE2A","Down","Other"
-3.69047120591631,0.194575915054643,-10.4754418366289,4.01253993467028e-23,4.65789010749641e-21,41.752889560269,"SCN7A","Down","Other"
-1.35633335709174,4.38314325246232,-10.4707635788107,4.17520738885303e-23,4.81027840747331e-21,41.6545858677455,"LHPP","Down","Other"
-0.900818464501127,4.12688536952086,-10.4609628376598,4.53752949554437e-23,5.1886988403154e-21,41.6014741204519,"ZFYVE21","Not significant","Other"
-1.06890837831264,4.81816281397379,-10.4362485154278,5.59586950374248e-23,6.35151914117378e-21,41.3587498724044,"CRY2","Down","Other"
-0.882271166309782,7.16723736885981,-10.4308038164368,5.86015124504543e-23,6.60258070057582e-21,41.3017532905449,"NFE2L2","Not significant","Other"
4.26435833601509,0.308145631143432,10.4229900621455,6.26122668768117e-23,7.00297638944077e-21,41.0504022391544,"HOXC8","Up","Other"
1.65561444239346,7.01294985068585,10.4177657345872,6.54447991734476e-23,7.26674389662853e-21,41.2124860538727,"ATP11A","Up","Other"
-2.39893063840802,2.17251217536614,-10.4099334717912,6.99314347116416e-23,7.7090602452265e-21,41.2070453100492,"SCUBE1","Down","Other"
2.65963881282641,6.027567286105,10.387660874765,8.44292468345393e-23,9.24078106604033e-21,41.0281892442294,"CENPF","Up","Other"
-2.1212886144049,2.91266233622988,-10.3475710911506,1.18441333428194e-22,1.2871464908654e-20,40.6688276242214,"SLC22A17","Down","Other"
-1.97358514132972,1.07215078307485,-10.3396243631897,1.26649607746391e-22,1.36665629542109e-20,40.6118351280883,"PRKN","Down","Other"
-1.58520195219204,0.108487035437578,-10.2951425374472,1.84181912648811e-22,1.97358003322918e-20,40.174351270349,"AF111167.2","Down","Other"
-0.82621674351938,6.26598194761437,-10.2840342638407,2.02207632367946e-22,2.15168579914864e-20,40.0702071486809,"PGRMC2","Not significant","Other"
-1.68354069943515,3.4164966521424,-10.2787823038277,2.11329717746047e-22,2.23324501036046e-20,40.0858681223031,"ALDOC","Down","Other"
-1.09263054069737,1.56570294979734,-10.2292703016918,3.2013041403127e-22,3.35983447548024e-20,39.6972888591066,"AL691432.2","Down","Other"
